epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,22476.8,1.44845,1.16033,1.31737,0.5928,0.57631,0.52187,0.32217,2.36276,1.95923,2.03788,0.000181703,0.000181703,0.000181703
92,22754.9,1.39899,1.09364,1.30196,0.52989,0.60049,0.53099,0.32302,2.35906,1.96604,2.04367,0.0001652,0.0001652,0.0001652
93,23028.8,1.36457,1.07688,1.30027,0.52581,0.59761,0.53,0.32506,2.37399,1.94709,2.04914,0.000148696,0.000148696,0.000148696
94,23306.5,1.35021,1.04895,1.27661,0.53257,0.59486,0.52711,0.32257,2.3851,1.96582,2.05224,0.000132193,0.000132193,0.000132193
95,23586.3,1.32528,1.02233,1.26895,0.53941,0.58977,0.52306,0.31889,2.38136,1.98226,2.05645,0.00011569,0.00011569,0.00011569
96,23877.6,1.30538,0.99916,1.24492,0.53617,0.59111,0.52153,0.32015,2.40062,1.99879,2.07288,9.91865e-05,9.91865e-05,9.91865e-05
97,24163.6,1.28853,0.9785,1.23577,0.53559,0.58466,0.52242,0.31949,2.41469,2.00298,2.08966,8.26832e-05,8.26832e-05,8.26832e-05
98,24442.9,1.31508,1.00222,1.26792,0.52996,0.56976,0.51291,0.32116,2.40935,2.01225,2.08243,6.61799e-05,6.61799e-05,6.61799e-05
99,24711.3,1.25742,0.94124,1.21747,0.52043,0.57727,0.51346,0.32283,2.39045,2.01828,2.06082,4.96766e-05,4.96766e-05,4.96766e-05
100,24990.4,1.26077,0.96978,1.21857,0.52518,0.56976,0.51188,0.32188,2.39491,2.02353,2.06329,3.31733e-05,3.31733e-05,3.31733e-05
