epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,8478.57,1.34214,1.19307,1.32505,0.7061,0.50056,0.52861,0.23158,2.05066,1.63829,1.85409,0.000144726,0.000144726,0.000144726
84,8650.82,1.36319,1.1933,1.3439,0.72302,0.5039,0.52926,0.22792,2.06337,1.67633,1.88215,0.000137113,0.000137113,0.000137113
85,8819.44,1.376,1.18378,1.35477,0.71793,0.50857,0.54005,0.235,2.07181,1.66841,1.89726,0.0001295,0.0001295,0.0001295
86,8983.74,1.3651,1.21177,1.35006,0.74088,0.50995,0.5392,0.23981,2.06923,1.6343,1.87954,0.000121887,0.000121887,0.000121887
87,9153.99,1.33394,1.11918,1.31268,0.74822,0.52456,0.54449,0.24043,2.07025,1.58567,1.85658,0.000114273,0.000114273,0.000114273
88,9324.09,1.33575,1.15343,1.30395,0.72736,0.53075,0.5229,0.23497,2.04688,1.60353,1.83082,0.00010666,0.00010666,0.00010666
89,9491.99,1.3431,1.12496,1.30203,0.72209,0.5218,0.50776,0.2279,2.0441,1.61576,1.82855,9.90472e-05,9.90472e-05,9.90472e-05
90,9662.4,1.34731,1.1105,1.30105,0.69365,0.51554,0.5064,0.22879,2.05769,1.62839,1.84713,9.14341e-05,9.14341e-05,9.14341e-05
91,9834.14,1.30115,0.96431,1.25528,0.71234,0.50771,0.50694,0.22677,2.07574,1.61373,1.86187,8.3821e-05,8.3821e-05,8.3821e-05
92,10000.3,1.27073,0.94954,1.2344,0.73558,0.51867,0.51422,0.22709,2.07939,1.61447,1.85504,7.62079e-05,7.62079e-05,7.62079e-05
93,10168.8,1.23047,0.93736,1.21329,0.7375,0.51273,0.51198,0.23102,2.05103,1.62015,1.83091,6.85948e-05,6.85948e-05,6.85948e-05
94,10346.5,1.23074,0.91782,1.21062,0.76785,0.52545,0.52864,0.23367,2.03783,1.63007,1.82132,6.09817e-05,6.09817e-05,6.09817e-05
95,10513.1,1.2226,0.92177,1.21856,0.75079,0.5168,0.51764,0.22984,2.04838,1.61639,1.83083,5.33686e-05,5.33686e-05,5.33686e-05
96,10681.3,1.22637,0.92216,1.21053,0.74831,0.51651,0.52199,0.22679,2.0535,1.6129,1.84432,4.57555e-05,4.57555e-05,4.57555e-05
97,10856,1.23408,0.90875,1.21808,0.74426,0.5274,0.52598,0.22751,2.05677,1.61601,1.85645,3.81424e-05,3.81424e-05,3.81424e-05
98,11023.2,1.21914,0.90197,1.20934,0.73032,0.53357,0.52647,0.22758,2.04828,1.60663,1.85162,3.05293e-05,3.05293e-05,3.05293e-05
99,11190.5,1.23829,0.91169,1.22327,0.74267,0.53059,0.52562,0.23096,2.0454,1.60819,1.85911,2.29162e-05,2.29162e-05,2.29162e-05
100,11362.2,1.21531,0.90502,1.20387,0.74859,0.52279,0.52515,0.23332,2.04348,1.61186,1.86439,1.53031e-05,1.53031e-05,1.53031e-05
